UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,WEAPON15,DRUG15,LIQUOR15,FILTER13,FILTER14,FILTER15,FID,Longitude,Latitude
113856001,East Los Angeles College,East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,CA,917546099,4,"Public, 2-year",18901,18287,37188,1,0,0,1,0,0,0,0,2,1,1,1,1,-118.147887562873,34.0389033565656
107044001,Harding University,Main Campus,900 E. Center,Searcy,AR,72149,2,"Private nonprofit, 4-year or above",2546,3463,6009,0,0,0,0,0,0,0,0,0,1,1,1,2,-91.7261890037049,35.2486823685363
100654001,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 4-year or above",2409,3219,5628,2,7,0,6,17,0,14,38,2,1,1,1,3,-86.5722814291055,34.7837851491383
105215001,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Universal Technical Institute-Motorcycle Mechanics Institute Division,2844 W DEER VALLEY RD,PHOENIX,AZ,85027,6,"Private for-profit, 2-year",1302,47,1349,0,0,0,0,1,0,0,0,0,1,1,1,4,-112.121353555043,33.6838505302667
113980001,El Camino Community College District,Main Campus,16007 Crenshaw Boulevard,Torrance,CA,905060001,4,"Public, 2-year",11606,12395,24001,1,11,5,0,10,4,5,11,4,1,1,1,5,-118.326574084508,33.8854719871692
105297001,Dine College,Main Campus,"Route 12, NHC Bldg. 1st Floor, Room 113",TSAILE,AZ,86556,1,"Public, 4-year or above",473,1017,1490,0,0,0,0,1,0,0,0,0,1,1,1,6,-109.218312549402,36.3300091510313
114044001,Elegance International,Campus Hollywood,6752 Hollywood Boulevard,Hollywood,CA,900286106,9,"Private for-profit, less-than 2-year",34,428,462,0,0,0,0,0,0,0,0,0,1,1,1,7,-118.337752543834,34.1014799562198
107071001,Henderson State University,Henderson State University,1100 HENDERSON ST,ARKADELPHIA,AR,719990001,1,"Public, 4-year or above",1461,2066,3527,0,0,7,0,3,0,1,7,3,1,1,1,8,-93.0598915812321,34.1255515157925
100663001,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",7185,11148,18333,1,21,0,0,29,0,5,27,0,1,1,1,9,-86.7996150956509,33.5055565204075
105330001,Northern Arizona University,Flagstaff Mountain Campus,"Knoles Drive, Babbit Administrative Ctr",FLAGSTAFF,AZ,860114132,1,"Public, 4-year or above",11617,17404,29021,0,71,115,0,71,69,1,78,110,1,1,1,10,-111.654070000031,35.1887099996984
114114001,Emperor's College of Traditional Oriental Medicine,Main Campus,"1807 WILSHIRE BLVD, STE 200",SANTA MONICA,CA,90403,3,"Private for-profit, 4-year or above",48,185,233,0,0,0,0,0,0,0,0,0,1,1,1,11,-118.484599482169,34.0303326850075
105349001,Northland Pioneer College,Main Campus - Painted Desert - PDC,2251 N. Navajo Boulevard,Holbrook,AZ,860251824,4,"Public, 2-year",1402,1952,3354,0,0,0,0,0,1,0,0,0,1,1,1,12,-110.141608790407,34.9281161834151
107080001,Hendrix College,Main Campus,1600 WASHINGTON AVE,CONWAY,AR,720323080,2,"Private nonprofit, 4-year or above",630,708,1338,0,1,0,0,1,1,0,2,0,1,1,1,13,-92.4442713272079,35.1008667406334
100690001,Amridge University,Main Campus,1200 TAYLOR RD,MONTGOMERY,AL,361173553,2,"Private nonprofit, 4-year or above",257,370,627,0,0,0,0,0,0,0,0,0,1,1,1,14,-86.171517771438,32.3639912457473
114123001,Empire College,Empire College,3035 CLEVELAND AVE,SANTA ROSA,CA,954032126,3,"Private for-profit, 4-year or above",88,354,442,0,0,0,0,0,0,0,0,0,1,1,1,15,-122.729049438174,38.4684774126681
